"lineage","tips","distance","country","year_first","year_last"
"Asian SEA4_B1.1_E1","5","0.02280979","Philippines","2022","2022"
"Asian SEA4_B1.1.1_E1","5","0.02261692","Philippines","2021","2022"
"Asian SEA4_B1.1.1_E2","5","0.02257602","Philippines","2021","2022"
