"lineage","country","year_first","year_last","n_seqs","parent"
"Asian_A1.1.1","China",1994,2015,1,"Asian_A1.1"
"Asian SEA4_A1.1.2","Philippines",2013,2019,74,"Asian SEA4_A1.1"
"Asian SEA4_A1.2","Philippines",2012,2019,95,"Asian SEA4_A1"
"Asian SEA4_A1","c(""Japan"", ""Philippines"")",1994,2020,32,"Asian_A1"
