"X","lineage","country","year_first","year_last","n_seqs","parent"
43,"Asian_A1.1.1","China",1994,2015,1,"Asian_A1.1"
52,"Asian SEA4_A1.1.1","Philippines",2012,2016,3,"Asian SEA4_A1.1"
53,"Asian SEA4_A1.1.2","Philippines",2013,2019,28,"Asian SEA4_A1.1"
54,"Asian SEA4_A1.2","Philippines",2012,2019,39,"Asian SEA4_A1"
173,"Asian SEA4_A1","c(""Japan"", ""Philippines"")",1994,2020,4,"Asian_A1"
