ID,country,year,lineage,,place,province,latitude,longitude,species,date
Z-07-38,Philippines,2007,Asian SEA4_D1,,Bacoor,Cavite,14.41614393,120.9704734,Canis familiaris,02/05/2007
Z-15-163,Philippines,2015,Asian SEA4_C1,,Bacoor  ,Cavite,14.41614393,120.9704734,Canis familiaris,05/09/2015
Z-18-001,Philippines,2018,Asian SEA4_A1.1.2,,Bacoor  ,Cavite,14.41614393,120.9704734,Felis catus,02/01/2018
Z-20-01,Philippines,2020,Asian SEA4_C1,,Bacoor  ,Cavite,14.41614393,120.9704734,Canis familiaris,03/01/2020
4A-22-40,Philippines,2022,Asian SEA4_B1.1,,Batangas  ,Batangas,13.7207195,121.103796,Canis familiaris,10/01/2022
Z-06-150,Philippines,2006,Asian SEA4_A1,,Batangas  ,Batangas,13.7207195,121.103796,Canis familiaris,24/04/2006
Z-13-065,Philippines,2013,Asian SEA4_A1.3,,Batangas  ,Batangas,13.7207195,121.103796,Canis familiaris,04/04/2013
Z-13-171,Philippines,2013,Asian SEA4_A1.3,,Batangas  ,Batangas,13.7207195,121.103796,Canis familiaris,05/08/2013
Z-13-184,Philippines,2013,Asian SEA4_A1.3,,Batangas  ,Batangas,13.7207195,121.103796,Canis familiaris,29/08/2013
Z-14-142,Philippines,2014,Asian SEA4_C1,,Binan  ,Laguna,14.30526494,121.0647852,Canis familiaris,21/06/2014
Z-16-211,Philippines,2016,Asian SEA4_C1,,Binan  ,Laguna,14.30526494,121.0647852,Canis familiaris,19/12/2016
Z-13-086,Philippines,2013,Asian SEA4_D1,,Binangonan,Rizal,14.49353136,121.1932147,Canis familiaris,03/05/2013
4B-22-16,Philippines,2022,Asian SEA4_A1.2,,Bongabong,Oriental Mindoro,12.71623574,121.3862303,Canis familiaris,28/04/2022
4B-2922JG,Philippines,2022,Asian SEA4_A1.2,,Bongabong,Oriental Mindoro,12.71623574,121.3862303,Canis familiaris,09/02/2022
R6-4568,Philippines,2021,Asian SEA4_A1,,Buenavista,Guimaras,10.69136331,122.6621626,Canis familiaris,13/10/2021
R3-731,Philippines,2021,Asian SEA4_A1.2,,Cabanatuan,Nueva Ecija,15.49243695,120.9899426,Canis familiaris,09/12/2021
Z-17-200,Philippines,2017,Asian SEA4_A1.2,,Cabuyao,Laguna,14.24922952,121.121079,Canis familiaris,31/10/2017
R10-711,Philippines,2021,Asian SEA4_A1.2,,Cagayan de Oro,Misamis Oriental,8.409218588,124.6235169,Canis familiaris,12/07/2021
R10-920,Philippines,2021,Asian SEA4_A1.2,,Cagayan de Oro,Misamis Oriental,8.409218588,124.6235169,Canis familiaris,26/10/2021
R10-824,Philippines,2021,Asian SEA4_A1.2,,Cagayan de Oro ,Misamis Oriental,8.409218588,124.6235169,Canis familiaris,09/09/2021
Z-07-398,Philippines,2007,Asian SEA4_A1.1.2,,Calamba,Laguna,14.18862277,121.1242055,Canis familiaris,19/12/2007
Z-98-667,Philippines,1998,Asian SEA4_A1,,Calamba,Laguna,14.18862277,121.1242055,Canis familiaris,29/06/1998
Z-13-234,Philippines,2013,Asian SEA4_A1.3.1,,Calamba ,Laguna,14.18862277,121.1242055,Canis familiaris,15/11/2013
Z-13-161,Philippines,2013,Asian SEA4_A1.1.2,,Calamba  ,Laguna,14.18862277,121.1242055,Canis familiaris,20/07/2013
Z-19-136,Philippines,2019,Asian SEA4_A1.2,,Calamba  ,Laguna,14.18862277,121.1242055,Canis familiaris,05/09/2019
