ID,country,year,assignment,lineage,lab_date,brgy,province,place,latitude,longitude,species,species_type,,
4A-22-104,Philippines,2022,Asian SEA4,Asian SEA4_A1.2,25/1/2022,Sabang,Batangas,Lipa,13.94086577,121.1746864,Canis familiaris,Domestic Dog,,
4A-22-171,Philippines,2022,Asian SEA4,Asian SEA4_B1.1.1,6/2/2022,Buenavista,Cavite,General Trias,14.32966619,120.8999068,Canis familiaris,Domestic Dog,,
4A-22-203,Philippines,2022,Asian SEA4,Asian SEA4_A1.1.2,11/2/2022,Guiang-Guiang,Quezon,Lucena ,13.93834754,121.6153593,Canis familiaris,Domestic Dog,,
4A-22-40,Philippines,2022,Asian SEA4,Asian SEA4_B1.1,10/1/2022,-,Batangas,Batangas  ,13.7207195,121.103796,Canis familiaris,Domestic Dog,,
4A-22-98,Philippines,2022,Asian SEA4,Asian SEA4_B1.1,22/1/2022,Baguio,Quezon,Tayabas,14.04055469,121.6122459,Canis familiaris,Domestic Dog,,
4B-21-126,Philippines,2021,Asian SEA4,Asian SEA4_A1.1.2,26/1/2021,Sapul,Oriental Mindoro,Calapan ,13.33178512,121.1780294,Canis familiaris,Domestic Dog,,
4B-21-29,Philippines,2021,Asian SEA4,Asian SEA4_A1.1.2,9/2/2021,San Narciso ,Oriental Mindoro,Victoria ,13.14368391,121.2438544,Canis familiaris,Domestic Dog,,
4B-21-310,Philippines,2021,Asian SEA4,Asian SEA4_A1.1.2,10/3/2021,Tabinay ,Oriental Mindoro,Puerto Galera,13.39217641,120.8953101,Canis familiaris,Domestic Dog,,
4B-21-35,Philippines,2021,Asian SEA4,Asian SEA4_A1.1.2,5/3/2021,Tabinay ,Oriental Mindoro,Puerto Galera,13.39217641,120.8953101,Canis familiaris,Domestic Dog,,
4B-21-412,Philippines,2021,Asian SEA4,Asian SEA4_A1.1.2,12/4/2021,Sto Nino,Oriental Mindoro,Puerto Galera,13.39217641,120.8953101,Canis familiaris,Domestic Dog,,
4B-21-421,Philippines,2021,Asian SEA4,Asian SEA4_A1.1.2,14/4/2021,Malapad,Oriental Mindoro,Baco,13.29039427,121.066837,Canis familiaris,Domestic Dog,,
4B-21-423,Philippines,2021,Asian SEA4,Asian SEA4_A1.1.2,23/4/2021,Camilmil,Oriental Mindoro,Calapan ,13.33178512,121.1780294,Canis familiaris,Domestic Dog,,
4B-21-528,Philippines,2021,Asian SEA4,Asian SEA4_A1.1.2,28/5/2021,Aninuan,Oriental Mindoro,Puerto Galera,13.39217641,120.8953101,Canis familiaris,Domestic Dog,,
4B-21622,Philippines,2022,Asian SEA4,Asian SEA4_A1.1.2,16/2/2022,Mangangan,Oriental Mindoro,Baco,13.29039427,121.066837,Canis familiaris,Domestic Dog,,
4B-22-114,Philippines,2022,Asian SEA4,Asian SEA4_A1.1.2,14/1/2022,Mayabig,Oriental Mindoro,Baco,13.29039427,121.066837,Canis familiaris,Domestic Dog,,
4B-22-13,Philippines,2022,Asian SEA4,Asian SEA4_A1.2,22/4/2022,Teresita,Oriental Mindoro,Mansalay,12.54836969,121.3482134,Canis familiaris,Domestic Dog,,
4B-22-15,Philippines,2022,Asian SEA4,Asian SEA4_A1.1.2,5/1/2022,San Isidro,Oriental Mindoro,Puerto�Galera,13.39217641,120.8953101,Canis familiaris,Domestic Dog,,
4B-22-16,Philippines,2022,Asian SEA4,Asian SEA4_A1.2,28/4/2022,Orcenuma,Oriental Mindoro,Bongabong,12.71623574,121.3862303,Canis familiaris,Domestic Dog,,
4B-22-17,Philippines,2022,Asian SEA4,Asian SEA4_A1.2,8/5/2022,Narra,Oriental Mindoro,Gloria,12.92166054,121.3754507,Canis familiaris,Domestic Dog,,
4B-22-20,Philippines,2022,Asian SEA4,Asian SEA4_A1.2,19/5/2022,Don Pedro,Oriental Mindoro,Mansalay,12.54836969,121.3482134,Canis familiaris,Domestic Dog,,
4B-22-21,Philippines,2022,Asian SEA4,Asian SEA4_A1.2,31/5/2022,Panggulayan,Oriental Mindoro,Pinamalayan,13.02301767,121.4031803,Canis familiaris,Domestic Dog,,
4B-22-28,Philippines,2022,Asian SEA4,Asian SEA4_A1.1.2,27/7/2022,Mangangan,Oriental Mindoro,Baco,13.29039427,121.066837,Canis familiaris,Domestic Dog,,
4B-22-30,Philippines,2022,Asian SEA4,Asian SEA4_A1.1.2,12/8/2022,Bangkatan,Oriental Mindoro,Baco,13.29039427,121.066837,Canis familiaris,Domestic Dog,,
4B-22-31,Philippines,2022,Asian SEA4,Asian SEA4_A1.2,18/8/2022,Bayanan,Oriental Mindoro,Pola,13.13990357,121.4449478,Canis familiaris,Domestic Dog,,
4B-22-35,Philippines,2022,Asian SEA4,Asian SEA4_A1.2,25/10/2022,Bagumbayan,Oriental Mindoro,Roxas,12.61737051,121.4554967,Canis familiaris,Domestic Dog,,
4B-22-37,Philippines,2022,Asian SEA4,Asian SEA4_A1.2,1/10/2022,San Isidro,Romblon,Alcantara,12.29784708,122.054934,Canis familiaris,Domestic Dog,,
4B-22-39,Philippines,2022,Asian SEA4,Asian SEA4_A1.2,21/10/2022,San Isidro,Romblon,Alcantara,12.29784708,122.054934,Canis familiaris,Domestic Dog,,
4B-22-40,Philippines,2022,Asian SEA4,Asian SEA4_A1.2,2/12/2022,Balugo,Oriental Mindoro,Mansalay,12.54836969,121.3482134,Canis familiaris,Domestic Dog,,
4B-22-41,Philippines,2022,Asian SEA4,Asian SEA4_A1.2,24/11/2022,Dapawan,Romblon,Odiongan,12.39865996,122.0177701,Canis familiaris,Domestic Dog,,
4B-22-42,Philippines,2022,Asian SEA4,Asian SEA4_A1.2,26/11/2022,Bonlao,Romblon,Alcantara,12.29784708,122.054934,Canis familiaris,Domestic Dog,,
4B-22-44,Philippines,2022,Asian SEA4,Asian SEA4_A1.2,11/12/2022,Dapawan,Romblon,Odiongan,12.39865996,122.0177701,Canis familiaris,Domestic Dog,,
4B-22-45,Philippines,2022,Asian SEA4,Asian SEA4_A1.2,12/12/2022,Concepcion Sur,Romblon,Santa Maria,12.40310216,122.0836566,Canis familiaris,Domestic Dog,,
4B-23-01,Philippines,2023,Asian SEA4,Asian SEA4_A1.2,20/1/2023,Concepcion Norte,Romblon,Santa Maria,12.40310216,122.0836566,Canis familiaris,Domestic Dog,,
4B-23-02,Philippines,2023,Asian SEA4,Asian SEA4_A1.2,13/1/2023,Dapawan,Romblon,Odiongan,12.39865996,122.0177701,Canis familiaris,Domestic Dog,,
4B-23-03,Philippines,2023,Asian SEA4,Asian SEA4_A1.1.2,22/1/2023,Sugod,Romblon,San Agustin,12.55403552,122.1124048,Canis familiaris,Domestic Dog,,
4B-23-04,Philippines,2023,Asian SEA4,Asian SEA4_A1.1.2,31/1/2023,Carmen,Romblon,San Agustin,12.55403552,122.1124048,Canis familiaris,Domestic Dog,,
4B-23-05,Philippines,2023,Asian SEA4,Asian SEA4_A1.2,20/1/2023,Sugod,Romblon,San Agustin,12.55403552,122.1124048,Canis familiaris,Domestic Dog,,
4B-23-06,Philippines,2023,Asian SEA4,Asian SEA4_A1.2,2/2/2023,Concepcion Norte,Romblon,Santa Maria,12.40310216,122.0836566,Canis familiaris,Domestic Dog,,
4B-23-07,Philippines,2023,Asian SEA4,Asian SEA4_A1.2,7/2/2023,Concepcion Sur,Romblon,Santa Maria,12.40310216,122.0836566,Canis familiaris,Domestic Dog,,
4B-23-11,Philippines,2023,Asian SEA4,Asian SEA4_A1.2,7/2/2023,Jun Carlo,Romblon,San Andres,12.53642104,122.0469478,Canis familiaris,Domestic Dog,,
4B-23-13,Philippines,2023,Asian SEA4,Asian SEA4_A1.2,9/2/2023,Rizal,Romblon,Odiongan,12.39865996,122.0177701,Canis familiaris,Domestic Dog,,
4B-23-15,Philippines,2023,Asian SEA4,Asian SEA4_A1.2,16/2/2023,Anahao,Romblon,Odiongan,12.39865996,122.0177701,Canis familiaris,Domestic Dog,,
4B-23-16,Philippines,2023,Asian SEA4,Asian SEA4_A1.2,28/2/2023,Dapawan,Romblon,Odiongan,12.39865996,122.0177701,Canis familiaris,Domestic Dog,,
4B-23-17,Philippines,2023,Asian SEA4,Asian SEA4_A1.2,1/3/2023,Poctoy,Romblon,Odiongan,12.39865996,122.0177701,Canis familiaris,Domestic Dog,,
4B-23-19,Philippines,2023,Asian SEA4,Asian SEA4_A1.2,1/3/2023,Mahabang Baybay,Romblon,San Agustin,12.55403552,122.1124048,Canis familiaris,Domestic Dog,,
4B-2422,Philippines,2022,Asian SEA4,Asian SEA4_A1.1.2,4/2/2022,Concepcion,Occidental Mindoro,Calintaan,12.59217706,121.082659,Canis familiaris,Domestic Dog,,
4B-2922HM,Philippines,2022,Asian SEA4,Asian SEA4_A1.1.2,9/2/2022,Mangangan,Oriental Mindoro,Baco,13.29039427,121.066837,Canis familiaris,Domestic Dog,,
4B-2922JG,Philippines,2022,Asian SEA4,Asian SEA4_A1.2,9/2/2022,Anilao,Oriental Mindoro,Bongabong,12.71623574,121.3862303,Canis familiaris,Domestic Dog,,
98-134,Philippines,1998,Asian SEA4,Asian SEA4_A1,9/2/1998,Sampaloc   Homes,Cavite,Dasmarinas,14.31850325,120.9657797,Canis familiaris,Domestic Dog,,
98-206,Philippines,1998,Asian SEA4,Asian SEA4_A1,2/3/1998,Bagongbayan,Laguna,Sta Cruz,14.26443013,121.4040122,Canis familiaris,Domestic Dog,,
98-285,Philippines,1998,Asian SEA4,Asian SEA4_A1,18/3/1998,-,Laguna,San Pablo,14.05146733,121.3315598,Canis familiaris,Domestic Dog,,
98-286,Philippines,1998,Asian SEA4,Asian SEA4_A1,19/3/1998,Tayuman,Quezon,Mulanay,13.52552491,122.4578973,Canis familiaris,Domestic Dog,,
98-335,Philippines,1998,Asian SEA4,Asian SEA4_A1.3,1/4/1998,-,Laguna,Nagcarlan,14.14027602,121.4032743,Canis familiaris,Domestic Dog,,
H-23-011Sa11,Philippines,2023,Asian SEA4,Asian SEA4_B1,2/2/2023,Concepcion Sur,Romblon,Santa Maria,12.40310216,122.0836566,Homo sapiens,Human,,
H-23-011Sk12,Philippines,2023,Asian SEA4,Asian SEA4_B1,2/2/2023,Concepcion Sur,Romblon,Santa Maria,12.40310216,122.0836566,Homo sapiens,Human,,
R1-21-148,Philippines,2021,Asian SEA4,Asian SEA4_A1.2,10/4/2021,Malibong,Pangasinan,Urbiztondo,15.82353439,120.3636915,Canis familiaris,Domestic Dog,,
R10-688,Philippines,2021,Asian SEA4,Asian SEA4_A1.2,2/7/2021,,Bukidnon,Malaybalay,8.160681669,125.1787735,Canis familiaris,Domestic Dog,,
R10-711,Philippines,2021,Asian SEA4,Asian SEA4_A1.2,12/7/2021,Balulang,Misamis Oriental,Cagayan de Oro,8.409218588,124.6235169,Canis familiaris,Domestic Dog,,
R10-824,Philippines,2021,Asian SEA4,Asian SEA4_A1.2,9/9/2021,Bulua,Misamis Oriental,Cagayan de Oro ,8.409218588,124.6235169,Canis familiaris,Domestic Dog,,
R10-856,Philippines,2021,Asian SEA4,Asian SEA4_A1.2,27/9/2021,-,Misamis Oriental,Manticao,8.374138099,124.3486702,Canis familiaris,Domestic Dog,,
R10-907,Philippines,2021,Asian SEA4,Asian SEA4_A1.2,25/10/2021,Gango,Bukidnon,Libona,8.327601426,124.7570432,Canis familiaris,Domestic Dog,,
R10-920,Philippines,2021,Asian SEA4,Asian SEA4_A1.2,26/10/2021,Agusan,Misamis Oriental,Cagayan de Oro,8.409218588,124.6235169,Canis familiaris,Domestic Dog,,
R10-989,Philippines,2021,Asian SEA4,Asian SEA4_A1.2,25/11/2021,Barangay 1,Misamis Oriental,Gingoog ,8.776382452,125.0898786,Canis familiaris,Domestic Dog,,
R10-990,Philippines,2021,Asian SEA4,Asian SEA4_A1.2,25/11/2021,Agay-Ayan,Misamis Oriental,Gingoog ,8.776382452,125.0898786,Canis familiaris,Domestic Dog,,
R11-21-61,Philippines,2021,Asian SEA4,Asian SEA4_A1.2,11/8/2021,,Cotabato,Midsayap,7.136249451,124.5166062,Canis familiaris,Domestic Dog,,
R11-21-63,Philippines,2021,Asian SEA4,Asian SEA4_A1.2,4/10/2021,,Davao del Norte,Tagum ,7.434951203,125.7990149,Canis familiaris,Domestic Dog,,
R11-22-002,Philippines,2022,Asian SEA4,Asian SEA4_A1.2,5/1/2022,Talomo,Davao del Sur,Davao ,7.254430625,125.4144871,Canis familiaris,Domestic Dog,,
R2-081,Philippines,2020,Asian SEA4,Asian SEA4_A1.2.1,31/8/2020,Ugac Norte,Cagayan,Tuguegarao  ,17.60612446,121.7593619,Canis familiaris,Domestic Dog,,
R3-731,Philippines,2021,Asian SEA4,Asian SEA4_A1.2,9/12/2021,Sangitan,Nueva Ecija,Cabanatuan,15.49243695,120.9899426,Canis familiaris,Domestic Dog,,
R5-21-115,Philippines,2021,Asian SEA4,Asian SEA4_A1.2,28/9/2021,Pob. III,Camarines Norte,Vinzons,14.19277209,122.8889974,Canis familiaris,Domestic Dog,,
R5-21-119,Philippines,2021,Asian SEA4,Asian SEA4_A1.2,15/10/2021,San Pedro,Sorsogon,Irosin,12.71458793,124.0300037,Canis familiaris,Domestic Dog,,
R5-21-128,Philippines,2021,Asian SEA4,Asian SEA4_A1.2,9/11/2021,Cararayan,Camarines Sur,Naga,13.64368803,123.2594656,Canis familiaris,Domestic Dog,,
R5-21-132,Philippines,2021,Asian SEA4,Asian SEA4_A1.2,15/11/2021,Labnig,Albay,Malinao,13.3845747,123.6522757,Canis familiaris,Domestic Dog,,
R5-21-136,Philippines,2021,Asian SEA4,Asian SEA4_A1.2,2/12/2021,-,Albay,Libon,13.24707931,123.3705704,Canis familiaris,Domestic Dog,,
R5-21-140,Philippines,2021,Asian SEA4,Asian SEA4_A1.2,10/12/2021,Calang Calawan,Camarines Norte,Vinzons,14.19277209,122.8889974,Canis familiaris,Domestic Dog,,
R5-22-008,Philippines,2022,Asian SEA4,Asian SEA4_A1.2,2/2/2022,Sto. Cristo,Albay,Tabaco,13.32537797,123.668741,Canis familiaris,Domestic Dog,,
R5-22-09,Philippines,2022,Asian SEA4,Asian SEA4_A1.2,7/2/2022,Bauud,Albay,Malilipot,13.30206264,123.724162,Felis catus,Cat,,
R6-21-4375,Philippines,2021,Asian SEA4,Asian SEA4_A1,1/10/2021,Labigan,Iloilo,Sara,11.29863894,122.9983924,Canis familiaris,Domestic Dog,,
R6-21-4511,Philippines,2021,Asian SEA4,Asian SEA4_A1.2,8/10/2021,San Isidro,Antique,Tibiao,11.31177392,122.0839795,Canis familiaris,Domestic Dog,,
R6-21-4600,Philippines,2021,Asian SEA4,Asian SEA4_A1,14/10/2021,Jibao-An,Iloilo,Pavia,10.76834195,122.5361294,Canis familiaris,Domestic Dog,,
R6-4342,Philippines,2021,Asian SEA4,Asian SEA4_A1,30/9/2021,Cabanban,Iloilo,Oton,10.72535873,122.4673796,Bos taurus,Cow,,
R6-4568,Philippines,2021,Asian SEA4,Asian SEA4_A1,13/10/2021,Avila,Guimaras,Buenavista,10.69136331,122.6621626,Canis familiaris,Domestic Dog,,-
R7-21-161,Philippines,2021,Asian SEA4,Asian SEA4_A1,18/10/2021,Pusok,Cebu,Lapu lapu,10.29788925,123.9784138,Canis familiaris,Domestic Dog,,
R9-010,Philippines,2020,Asian SEA4,Asian SEA4_A1.2,27/1/2020,San Roque,Zamboanga Del Sur,Zamboanga  ,7.154200895,122.139348,Felis catus,Cat,,
R9-074,Philippines,2021,Asian SEA4,Asian SEA4_A1.2,20/8/2021,Cogon,Zamboanga Del Sur,Sagun,7.519657705,123.1738437,Canis familiaris,Domestic Dog,,
R9-089,Philippines,2021,Asian SEA4,Asian SEA4_A1.2,7/10/2021,Pangi,Zamboanga Sibugay,Ipil,7.780235248,122.5765115,Canis familiaris,Domestic Dog,,
R9-105,Philippines,2021,Asian SEA4,Asian SEA4_A1.2,9/12/2021,Lopoc,Zamboanga Del Norte,Labason,8.030135135,122.5303567,Canis familiaris,Domestic Dog,,
RADDL3-1045,Philippines,2015,Asian SEA4,Asian SEA4_A1.2,23/10/2015,St. Francis ,Bataan,Limay,14.53878982,120.5544428,Canis familiaris,Domestic Dog,,
RADDL3-15-172,Philippines,2015,Asian SEA4,Asian SEA4_A1.2,12/2/2015,Cvo,Nueva Ecija,San Jose  ,15.78462183,120.9975839,Canis familiaris,Domestic Dog,,
RADDL3-16-468,Philippines,2016,Asian SEA4,Asian SEA4_A1.2,1/6/2016,Sta Teresita,Pampanga,Angeles  ,15.14555779,120.5862479,Canis familiaris,Domestic Dog,,
