"lineage","country","year_first","year_last","n_seqs","parent"
"Cosmopolitan_J1","c(""Butiama"", ""Serengeti"", ""Tanzania"", ""Tarime"")","2009","2017",18,"Cosmopolitan_A1.2.2"
"Cosmopolitan AF1b_B1.2.1","c(""Serengeti"", ""Tanzania"")","2015","2017",13,"Cosmopolitan AF1b_B1.2"
