"lineage","country","year_first","year_last","n_seqs","parent"
"Asian SEA4_A1.2.1","c(""Japan"", ""Philippines"")","1994","2022",127,"Asian SEA4_A1.2"
"Asian SEA4_B1","Philippines","2015","2021",15,"Asian SEA4_A1.2.1"
