"lineage","n_singletons","singleton_countries","singleton_years"
"Asian_A1.1","1","China","1956"
"Asian_A1.1.1","1","China","2008"
"Asian_A1","1","Taiwan","2012"
"Asian SEA4_A1","2","Philippines","1994"
"Asian SEA4_A1.2.1","1","Philippines","2021"
