ID,ID,country,year,assignment,lineage,lab_date,brgy,municipality,province,latitude,longitude,species,species_type,,,
4A-22-104,4A-22-104,Philippines,2022,Asian SEA4,Asian SEA4_A1.2,25/1/2022,Sabang,Lipa,Batangas,13.94086577,121.1746864,Canis familiaris,Domestic Dog,,,
4A-22-171,4A-22-171,Philippines,2022,Asian SEA4,Asian SEA4_B1.1.1,6/2/2022,Buenavista,General Trias,Cavite,14.32966619,120.8999068,Canis familiaris,Domestic Dog,,,
4A-22-203,4A-22-203,Philippines,2022,Asian SEA4,Asian SEA4_A1.1.2,11/2/2022,Guiang-Guiang,Lucena ,Quezon,13.93834754,121.6153593,Canis familiaris,Domestic Dog,,,
4A-22-40,4A-22-40,Philippines,2022,Asian SEA4,Asian SEA4_B1.1,10/1/2022,-,Batangas  ,Batangas,13.7207195,121.103796,Canis familiaris,Domestic Dog,,,
4A-22-98,4A-22-98,Philippines,2022,Asian SEA4,Asian SEA4_B1.1,22/1/2022,Baguio,Tayabas,Quezon,14.04055469,121.6122459,Canis familiaris,Domestic Dog,,,
4B-21-126,4B-21-126,Philippines,2021,Asian SEA4,Asian SEA4_A1.1.2,26/1/2021,Sapul,Calapan ,Oriental Mindoro,13.33178512,121.1780294,Canis familiaris,Domestic Dog,,,
4B-21-29,4B-21-29,Philippines,2021,Asian SEA4,Asian SEA4_A1.1.2,9/2/2021,San Narciso ,Victoria ,Oriental Mindoro,13.14368391,121.2438544,Canis familiaris,Domestic Dog,,,
4B-21-310,4B-21-310,Philippines,2021,Asian SEA4,Asian SEA4_A1.1.2,10/3/2021,Tabinay ,Puerto Galera,Oriental Mindoro,13.39217641,120.8953101,Canis familiaris,Domestic Dog,,,
4B-21-35,4B-21-35,Philippines,2021,Asian SEA4,Asian SEA4_A1.1.2,5/3/2021,Tabinay ,Puerto Galera,Oriental Mindoro,13.39217641,120.8953101,Canis familiaris,Domestic Dog,,,
4B-21-412,4B-21-412,Philippines,2021,Asian SEA4,Asian SEA4_A1.1.2,12/4/2021,Sto Nino,Puerto Galera,Oriental Mindoro,13.39217641,120.8953101,Canis familiaris,Domestic Dog,,,
