ID,assignment,country,year
4B-22-13,SEA4,Philippines,2022
4B-22-16,SEA4,Philippines,2022
4B-22-17,SEA4,Philippines,2022
4B-22-20,SEA4,Philippines,2022
4B-22-21,SEA4,Philippines,2022
4B-22-28,SEA4,Philippines,2022
4B-22-30,SEA4,Philippines,2022
4B-22-31,SEA4,Philippines,2022
4B-22-35,SEA4,Philippines,2022
4B-22-40,SEA4,Philippines,2022
4B-22-41,SEA4,Philippines,2022
4B-22-42,SEA4,Philippines,2022
