"lineage","country","year_first","year_last","n_seqs","parent"
"Asian SEA4_A1.2.1","c(""Japan"", ""Philippines"")","2006","2023",23,"Asian SEA4_A1.2"
"Asian SEA4_B1","Philippines","2012","2022",14,"Asian SEA4_A1.1.1"
"Asian SEA4_B1.1","Philippines","2012","2022",10,"Asian SEA4_B1"
"Asian SEA4_B1.1.1","Philippines","2021","2022",15,"Asian SEA4_B1.1"
