"lineage","n_singletons","singleton_countries","singleton_years"
"Asian SEA4_A1",1,"Philippines","2021"
"Asian SEA4_A1.1.2",1,"Japan","2006"
"Asian_A1",2,"Taiwan","2012"
"Asian SEA4_A1.2.2",1,"Philippines","2015"
