"lineage","country","year_first","year_last","n_seqs"
"Asian_A1.1.1","China",1994,2015,13
"Asian SEA4_A1","c(""Japan"", ""Philippines"")",1994,2020,9
"Asian SEA4_A1.1.1","Philippines",2012,2016,11
"Asian SEA4_A1.1.2","Philippines",2013,2019,10
"Asian SEA4_A1.2","Philippines",2012,2019,15
