"lineage","country","year_first","year_last","n_seqs","parent"
"Asian SEA4_B1.1.1","Philippines","2012","2022",11,"Asian SEA4_B1.1"
"Asian SEA4_C1","Philippines","2021","2022",15,"Asian SEA4_B1.1.1"
"Asian SEA4_A1.3","c(""Japan"", ""Philippines"")","1994","2022",14,"Asian SEA4_A1"
"Asian SEA4_B1","Philippines","2006","2022",5,"Asian SEA4_A1.1.2"
"Asian SEA4_B1.1","Philippines","2007","2022",10,"Asian SEA4_B1"
