"lineage","n_singletons","singleton_countries","singleton_years"
"Asian_A1.1","1","China","1956"
"Asian_A1.1.1","3","China","c(""2012"", ""2008"", ""2009"")"
"Asian_A1","1","Taiwan","2012"
"Asian SEA4_A1","2","Philippines","c(""1994"", ""2021"")"
"Asian SEA4_A1.3","1","Philippines","1994"
