"lineage","country","year_first","year_last","n_seqs","parent"
"Asian SEA4_C1","Philippines","2022","2023",14,"Asian SEA4_B1.4.1"
"Asian SEA4_B1.4.1","Philippines","2018","2023",7,"Asian SEA4_B1.4"
"Asian SEA4_B1.4","Philippines","2007","2022",22,"Asian SEA4_B1"
"Asian SEA4_B1.2","Philippines","2007","2022",8,"Asian SEA4_B1"
"Asian SEA4_B1.1.1","Philippines","2014","2020",9,"Asian SEA4_B1.1"
"Asian SEA4_B1","Philippines","1998","2022",7,"Asian SEA4_A1.2.2"
"Asian SEA4_A1.2.2","Philippines","2015","2016",3,"Asian SEA4_A1.2"
