ID,country,year,lineage,brgy,place,province,region,latitude,longitude,species,date
4B-23-04,Philippines,2023,Asian SEA4_A1.1.2,Carmen,San Agustin,Romblon,Southwestern Tagalog Region,12.55403552,122.1124048,Canis familiaris,31/01/2023
4B-23-05,Philippines,2023,Asian SEA4_A1.2,Sugod,San Agustin,Romblon,Southwestern Tagalog Region,12.55403552,122.1124048,Canis familiaris,20/01/2023
4B-23-06,Philippines,2023,Asian SEA4_A1.2,Concepcion Norte,Santa Maria,Romblon,Southwestern Tagalog Region,12.40310216,122.0836566,Canis familiaris,02/02/2023
4B-23-07,Philippines,2023,Asian SEA4_A1.2,Concepcion Sur,Santa Maria,Romblon,Southwestern Tagalog Region,12.40310216,122.0836566,Canis familiaris,07/02/2023
4B-23-11,Philippines,2023,Asian SEA4_A1.2,Jun Carlo,San Andres,Romblon,Southwestern Tagalog Region,12.53642104,122.0469478,Canis familiaris,07/02/2023
4B-23-12,Philippines,2023,unknown,Concepcion Norte,Santa Maria,Romblon,Southwestern Tagalog Region,12.40310216,122.0836566,Canis familiaris,14/02/2023
4B-23-13,Philippines,2023,Asian SEA4_A1.2,Rizal,Odiongan,Romblon,Southwestern Tagalog Region,12.39865996,122.0177701,Canis familiaris,09/02/2023
4B-23-15,Philippines,2023,Asian SEA4_A1.2,Anahao,Odiongan,Romblon,Southwestern Tagalog Region,12.39865996,122.0177701,Canis familiaris,16/02/2023
4B-23-16,Philippines,2023,Asian SEA4_A1.2,Dapawan,Odiongan,Romblon,Southwestern Tagalog Region,12.39865996,122.0177701,Canis familiaris,28/02/2023
4B-23-17,Philippines,2023,Asian SEA4_A1.2,Poctoy,Odiongan,Romblon,Southwestern Tagalog Region,12.39865996,122.0177701,Canis familiaris,01/03/2023
4B-23-19,Philippines,2023,Asian SEA4_A1.2,Mahabang Baybay,San Agustin,Romblon,Southwestern Tagalog Region,12.55403552,122.1124048,Canis familiaris,01/03/2023
4B-2422,Philippines,2022,Asian SEA4_A1.1.2,Concepcion,Calintaan,Occidental Mindoro,Southwestern Tagalog Region,12.59217706,121.082659,Canis familiaris,04/02/2022
4B-2922HM,Philippines,2022,Asian SEA4_A1.1.2,Mangangan,Baco,Oriental Mindoro,Southwestern Tagalog Region,13.29039427,121.066837,Canis familiaris,09/02/2022
4B-2922JG,Philippines,2022,Asian SEA4_A1.2,Anilao,Bongabong,Oriental Mindoro,Southwestern Tagalog Region,12.71623574,121.3862303,Canis familiaris,09/02/2022
H-23-011Sa_11,Philippines,2023,Asian SEA4_B1,Concepcion Sur,Santa Maria,Romblon,Southwestern Tagalog Region,12.40310216,122.0836566,Homo sapiens,02/02/2023
H-23-011Sk_12,Philippines,2023,Asian SEA4_B1,Concepcion Sur,Santa Maria,Romblon,Southwestern Tagalog Region,12.40310216,122.0836566,Homo sapiens,02/02/2023
R1-21-148,Philippines,2021,Asian SEA4_A1.2,Malibong,Urbiztondo,Pangasinan,Ilocos Region,15.82353439,120.3636915,Canis familiaris,10/04/2021
R10-688,Philippines,2021,Asian SEA4_A1.2,,Malaybalay,Bukidnon,Northern Mindanao,8.160681669,125.1787735,Canis familiaris,02/07/2021
R10-711,Philippines,2021,Asian SEA4_A1.2,Balulang,Cagayan de Oro,Misamis Oriental,Northern Mindanao,8.409218588,124.6235169,Canis familiaris,12/07/2021
R10-714,Philippines,2021,unknown,Bonbon,Opol,Misamis Oriental ,Northern Mindanao,8.42897072,124.502868,Canis familiaris,11/07/2021
R10-824,Philippines,2021,Asian SEA4_A1.2,Bulua,Cagayan de Oro ,Misamis Oriental,Northern Mindanao,8.409218588,124.6235169,Canis familiaris,09/09/2021
R10-856,Philippines,2021,Asian SEA4_A1.2,-,Manticao,Misamis Oriental,Northern Mindanao,8.374138099,124.3486702,Canis familiaris,27/09/2021
R10-907,Philippines,2021,Asian SEA4_A1.2,Gango,Libona,Bukidnon,Northern Mindanao,8.327601426,124.7570432,Canis familiaris,25/10/2021
R10-920,Philippines,2021,Asian SEA4_A1.2,Agusan,Cagayan de Oro,Misamis Oriental,Northern Mindanao,8.409218588,124.6235169,Canis familiaris,26/10/2021
R10-989,Philippines,2021,Asian SEA4_A1.2,Barangay 1,Gingoog ,Misamis Oriental,Northern Mindanao,8.776382452,125.0898786,Canis familiaris,25/11/2021
R10-990,Philippines,2021,Asian SEA4_A1.2,Agay-Ayan,Gingoog ,Misamis Oriental,Northern Mindanao,8.776382452,125.0898786,Canis familiaris,25/11/2021
R11-21-61,Philippines,2021,Asian SEA4_A1.2,,Midsayap,Cotabato,Bangsamoro,7.136249451,124.5166062,Canis familiaris,11/08/2021
R11-21-63,Philippines,2021,Asian SEA4_A1.2,,Tagum ,Davao del Norte,Davao Region,7.434951203,125.7990149,Canis familiaris,04/10/2021
R11-22-002,Philippines,2022,Asian SEA4_A1.2,Talomo,Davao ,Davao del Sur,Davao Region,7.254430625,125.4144871,Canis familiaris,05/01/2022
R2-081,Philippines,2020,Asian SEA4_A1.2.1,Ugac Norte,Tuguegarao  ,Cagayan,Cagayan Valley,17.60612446,121.7593619,Canis familiaris,31/08/2020
R2-22-5302,Philippines,2022,unknown,unknown,unknown,unknown,Cagayan Valley,unknown,unknown,unknown,unknown
R2-22-5814,Philippines,2022,unknown,unknown,unknown,unknown,Cagayan Valley,unknown,unknown,unknown,unknown
R2-22-84711,Philippines,2022,unknown,unknown,unknown,unknown,Cagayan Valley,unknown,unknown,unknown,unknown
R2-22-8924,Philippines,2022,unknown,unknown,unknown,unknown,Cagayan Valley,unknown,unknown,unknown,unknown
R3-731,Philippines,2021,Asian SEA4_A1.2,Sangitan,Cabanatuan,Nueva Ecija,Central Luzon,15.49243695,120.9899426,Canis familiaris,09/12/2021
R5-22-09,Philippines,2022,Asian SEA4_A1.2,Bauud,Malilipot,Albay,Bicol Region,13.30206264,123.724162,Felis catus,07/02/2022
R5-21-115,Philippines,2021,Asian SEA4_A1.2,Pob. III,Vinzons,Camarines Norte,Bicol Region,14.19277209,122.8889974,Canis familiaris,28/09/2021
R5-21-119,Philippines,2021,Asian SEA4_A1.2,San Pedro,Irosin,Sorsogon,Bicol Region,12.71458793,124.0300037,Canis familiaris,15/10/2021
R5-21-128,Philippines,2021,Asian SEA4_A1.2,Cararayan,Naga,Camarines Sur,Bicol Region,13.64368803,123.2594656,Canis familiaris,09/11/2021
R5-21-132,Philippines,2021,Asian SEA4_A1.2,Labnig,Malinao,Albay,Bicol Region,13.3845747,123.6522757,Canis familiaris,15/11/2021
