"lineage","n_singletons","singleton_countries","singleton_years"
"Africa-2_A1.1.1","1","Mauritania","1991"
"Africa-2_A1","6","c(""-"", ""Gambia"", ""Guinea"")","c(""1986"", ""2008"", ""1990"", ""1995"", ""2018"", ""1992"")"
