"X","lineage","country","year_first","year_last","n_seqs","parent"
3,"Africa-2_A1.1","Senegal",1991,2011,1,"Africa-2_A1"
891,"Africa-2_B1","c(""Mauritania"", ""Senegal"")",1986,2007,33,"Africa"
